Symbol,Direction,PValue,Dataset
LIPG,-1,0.8958454031,GSE120805
LAMA1,-1,0.9942285054,GSE120805
RNF125,-1,0.7311761692,GSE120805
ANKRD12,1,0.1317138264,GSE120805
POLI,-1,0.946509312,GSE120805
MIB1,-1,0.9717711723,GSE120805
RBBP8,-1,0.3263448864,GSE120805
RIOK3,1,0.9834981163,GSE120805
CSTF2,-1,0.1194025403,GSE120805
MXRA5,-1,0.0005439019128,GSE120805
PSMD10,1,0.01019013703,GSE120805
ATG4A,1,0.06681123583,GSE120805
STS,-1,0.2137389088,GSE120805
TBL1X,-1,2.81E-08,GSE120805
GPR143,1,NA,GSE120805
PGRMC1,-1,0.7657853099,GSE120805
POLA1,-1,3.14E-18,GSE120805
MID1,-1,0.0001156021416,GSE120805
NKAP,1,0.3174228857,GSE120805
NXT2,1,0.7786592231,GSE120805
GUCY2F,-1,NA,GSE120805
ATP1B4,-1,NA,GSE120805
MCTS2,-1,0.005805880396,GSE120805
ALG13,1,0.7993505003,GSE120805
PRPS2,-1,0.001825494692,GSE120805
TLR8,-1,NA,GSE120805
MOSPD1,1,0.6368806055,GSE120805
AMMECR1,-1,0.0001086794643,GSE120805
CHRDL1,-1,4.45E-10,GSE120805
WDR13,-1,0.6726019109,GSE120805
SUV39H1,-1,0.2245668489,GSE120805
SRPX,-1,0.3096927007,GSE120805
XIAP,1,0.2925381138,GSE120805
STAG2,1,0.4146961852,GSE120805
ATP11C,-1,0.02117531768,GSE120805
MCF2,1,NA,GSE120805
ABCD1,1,0.3677502069,GSE120805
CCDC22,-1,0.9156933064,GSE120805
SYP,1,0.7126416783,GSE120805
PLP2,-1,0.06046864173,GSE120805
PLS3,-1,0.6806712079,GSE120805
NAA10,-1,4.69E-05,GSE120805
RENBP,-1,0.7491157238,GSE120805
ELF4,-1,0.4922280143,GSE120805
SMARCA1,1,2.38E-11,GSE120805
MTMR8,1,0.9986499334,GSE120805
ASB9,1,0.4517169508,GSE120805
ZC3H12B,1,0.9712347794,GSE120805
RBBP7,-1,0.9175393485,GSE120805
KCND1,1,0.7823852785,GSE120805
SLC25A14,1,0.2243120828,GSE120805
FMR1,1,0.675671108,GSE120805
PIM2,1,0.4507030928,GSE120805
SCML2,1,0.1349642316,GSE120805
SLC35A2,-1,0.9600406677,GSE120805
PQBP1,-1,0.7397648462,GSE120805
PCSK1N,1,0.8227894633,GSE120805
EMD,-1,0.5238278231,GSE120805
TAFAZZIN,1,0.3930195156,GSE120805
RAB40AL,1,0.9381808728,GSE120805
PGK1,-1,0.0007908285859,GSE120805
MAGT1,1,0.9642859229,GSE120805
SMS,-1,0.00275935474,GSE120805
PHEX,1,0.9071883933,GSE120805
UBL4A,-1,0.02364818879,GSE120805
CD99L2,1,0.3679063118,GSE120805
EEA1,-1,0.4384059499,GSE120805
RP2,1,0.9154633708,GSE120805
JADE3,1,0.390788277,GSE120805
CDK16,-1,0.9568854773,GSE120805
USP11,1,0.3269419493,GSE120805
HTATSF1,-1,0.7245707299,GSE120805
TIMP1,-1,0.6377233214,GSE120805
KLHL4,-1,3.29E-06,GSE120805
GABRE,-1,0.727573494,GSE120805
FGD1,-1,0.9232500421,GSE120805
PIN4,1,0.4344097378,GSE120805
PORCN,1,1.24E-05,GSE120805
MAGED2,-1,0.06502353134,GSE120805
RBM3,-1,0.1717233083,GSE120805
KLF8,1,NA,GSE120805
SRPX2,-1,0.2977333828,GSE120805
SYTL4,1,0.7301311024,GSE120805
ZDHHC15,-1,0.9689958598,GSE120805
CENPI,1,0.6521268119,GSE120805
DRP2,1,0.6906304171,GSE120805
TAF7L,-1,0.7558135282,GSE120805
PBDC1,1,0.3545431951,GSE120805
GLA,1,0.848242618,GSE120805
ARMCX3,-1,0.8012554435,GSE120805
BEX4,1,0.515349994,GSE120805
RUBCNL,1,0.665609138,GSE120805
NALCN,-1,1.72E-10,GSE120805
FGF14,1,NA,GSE120805
NDFIP2,1,0.6664859752,GSE120805
TNFSF13B,1,0.2955198034,GSE120805
FNDC3A,1,0.9697658707,GSE120805
MLNR,-1,NA,GSE120805
CDADC1,-1,0.2145190878,GSE120805
CAB39L,-1,0.7802509666,GSE120805
KLF5,-1,0.8028378641,GSE120805
STK24,-1,0.4780581718,GSE120805
ACP5,1,0.01790107793,GSE120805
DNAJC3,1,0.8225450963,GSE120805
UGGT2,1,0.9919039998,GSE120805
ARHGEF7,-1,0.8251079429,GSE120805
FGF9,-1,NA,GSE120805
SGCG,-1,0.002229071121,GSE120805
PARP4,1,0.4443743759,GSE120805
SUPT20H,1,0.6378181255,GSE120805
MRPS31,-1,0.5275409678,GSE120805
SLC25A15,-1,8.32E-05,GSE120805
KPNA3,-1,0.05184809008,GSE120805
FLT1,1,0.01400194884,GSE120805
RGCC,1,0.03838671473,GSE120805
VWA8,1,0.9474691163,GSE120805
DGKH,-1,0.1235100096,GSE120805
KATNAL1,-1,0.8462944684,GSE120805
INTS6,1,0.8856198755,GSE120805
DHRS12,1,0.5499481625,GSE120805
MEDAG,-1,0.0007548043262,GSE120805
TSC22D1,1,0.01802477523,GSE120805
CLN5,1,0.469527874,GSE120805
MSLN,1,0.8507366906,GSE120805
MGRN1,1,0.993188372,GSE120805
ZNF629,-1,0.7997194311,GSE120805
TRADD,1,0.1850818514,GSE120805
HSF4,-1,0.5300325384,GSE120805
CORO1A,1,0.5826181583,GSE120805
MAPK3,1,0.7741302916,GSE120805
GDPD3,-1,0.9197482453,GSE120805
ELMO3,-1,0.2983412365,GSE120805
PHKB,1,0.8857172156,GSE120805
LYRM1,1,0.9666917548,GSE120805
NUTF2,-1,0.0004430611849,GSE120805
NUP93,-1,0.5916640847,GSE120805
CENPT,1,0.858457354,GSE120805
TSNAXIP1,1,0.0001258072381,GSE120805
NFAT5,1,0.740931826,GSE120805
LONP2,1,0.01075283322,GSE120805
N4BP1,-1,0.1726741612,GSE120805
ARL2BP,1,0.002282850816,GSE120805
PLLP,1,0.09885899911,GSE120805
ZNF423,1,NA,GSE120805
DHODH,-1,1.64E-10,GSE120805
CTCF,-1,0.02555999238,GSE120805
ACD,1,0.4804974784,GSE120805
POLR2C,1,0.5239494265,GSE120805
PARD6A,1,2.84E-07,GSE120805
ZNF821,1,0.4334948413,GSE120805
MMP15,-1,0.008387199312,GSE120805
USB1,1,0.9338799453,GSE120805
CYB5B,1,0.979687103,GSE120805
CFAP263,1,5.25E-09,GSE120805
NME3,-1,0.6463779995,GSE120805
NDRG4,1,7.43E-05,GSE120805
PSMD7,-1,0.6121087722,GSE120805
SETD6,1,0.3846227909,GSE120805
SLC38A7,-1,0.5878851827,GSE120805
VAC14,-1,0.5828388116,GSE120805
HAS3,1,0.3089824834,GSE120805
TANGO6,-1,0.000766633429,GSE120805
COG4,1,0.05056616012,GSE120805
SMPD3,1,0.8336527235,GSE120805
SLC7A6OS,-1,0.9784896145,GSE120805
SLC7A6,-1,0.03811196645,GSE120805
PLA2G15,1,0.8217943951,GSE120805
ESRP2,-1,0.867687184,GSE120805
FA2H,1,0.2346374706,GSE120805
WDR59,-1,0.9576876295,GSE120805
MON1B,-1,0.7905517409,GSE120805
CMC2,-1,0.05248391749,GSE120805
AXIN1,-1,0.3489234808,GSE120805
HCFC1R1,-1,0.001445649584,GSE120805
NPRL3,-1,0.9643651901,GSE120805
MLYCD,1,9.16E-07,GSE120805
MPG,1,0.3552077763,GSE120805
NECAB2,-1,0.9197482453,GSE120805
HSDL1,1,0.7355999196,GSE120805
TAF1C,-1,0.3712256291,GSE120805
NAGPA,1,0.09014387386,GSE120805
WFDC1,1,0.5298825517,GSE120805
SEC14L5,1,NA,GSE120805
COTL1,-1,3.03E-05,GSE120805
USP10,-1,0.3424868023,GSE120805
CRISPLD2,-1,2.04E-13,GSE120805
TSC2,1,0.9112811834,GSE120805
ZNF500,1,0.6152981689,GSE120805
NME4,-1,0.02880499999,GSE120805
ABCC1,-1,0.4246967115,GSE120805
NOMO3,1,0.9469076172,GSE120805
LMF1,1,0.2440161998,GSE120805
FOXF1,1,0.9846637157,GSE120805
CIAO3,-1,0.607652389,GSE120805
MTHFSD,1,0.2293235721,GSE120805
CLCN7,1,0.1871412111,GSE120805
HAGHL,-1,0.003917019832,GSE120805
ANTKMT,-1,0.8398630116,GSE120805
SLC7A5,-1,0.0002710062696,GSE120805
METRN,-1,0.515050242,GSE120805
FBXO31,-1,0.001411945515,GSE120805
STUB1,1,0.9856051589,GSE120805
RHBDL1,-1,0.9765880051,GSE120805
NUBP1,-1,0.173105432,GSE120805
UBE2I,-1,0.2381725249,GSE120805
MEFV,1,0.2710739557,GSE120805
EEF2K,-1,2.28E-10,GSE120805
CAPN15,-1,0.03311406625,GSE120805
PIEZO1,-1,0.726412528,GSE120805
GSPT1,-1,0.1717233083,GSE120805
ZNF174,1,0.09186732653,GSE120805
CLUAP1,1,0.004702277161,GSE120805
UBFD1,1,0.7101057332,GSE120805
EARS2,-1,0.000378852357,GSE120805
ELOB,1,0.9949228873,GSE120805
GGA2,-1,0.688580167,GSE120805
CPPED1,1,0.1345615311,GSE120805
USP31,-1,5.05E-07,GSE120805
HMOX2,-1,0.9291313501,GSE120805
DNAJA3,-1,0.8216244337,GSE120805
BFAR,-1,0.861580548,GSE120805
SALL1,-1,0.1498313171,GSE120805
SNX29P2,-1,0.8038671652,GSE120805
RRN3P2,-1,0.8038671652,GSE120805
RBL2,1,3.10E-10,GSE120805
QPRT,1,0.002319276072,GSE120805
XYLT1,1,0.9137933838,GSE120805
PYCARD,1,0.01284753268,GSE120805
RPGRIP1L,1,0.7337649708,GSE120805
MAZ,-1,0.005345408548,GSE120805
STX4,1,0.7948594184,GSE120805
CDIPT,1,0.01822134063,GSE120805
BCKDK,-1,0.3729469507,GSE120805
KAT8,-1,0.7713795271,GSE120805
NOMO1,-1,0.6413488225,GSE120805
IL21R,-1,0.2669867866,GSE120805
SYT17,1,NA,GSE120805
TMC5,1,NA,GSE120805
CCP110,-1,0.4418860078,GSE120805
VPS35L,1,9.25E-05,GSE120805
RNF40,1,0.8166192422,GSE120805
KNOP1,-1,8.42E-13,GSE120805
AAGAB,1,0.9622913854,GSE120805
IQCH,1,0.02918651378,GSE120805
LACTB,-1,0.1817649865,GSE120805
CORO2B,-1,0.9855006059,GSE120805
CSK,-1,0.964443069,GSE120805
HERC1,1,0.1277300662,GSE120805
TRIP4,1,0.5931934237,GSE120805
MTFMT,1,0.7683308635,GSE120805
RASL12,1,0.5785278958,GSE120805
AP3B2,1,0.3224323108,GSE120805
ACSBG1,-1,0.4525918157,GSE120805
IGDCC4,1,0.2440884642,GSE120805
RAB11A,1,0.3510614923,GSE120805
CTSH,1,5.03E-05,GSE120805
TTC23,1,0.6965875041,GSE120805
CD276,-1,0.9575818524,GSE120805
FAH,-1,0.185853635,GSE120805
CEMIP,-1,1.24E-08,GSE120805
RPAP1,-1,0.8803730059,GSE120805
HOMER2,-1,2.81E-06,GSE120805
EHD4,-1,0.0002129131206,GSE120805
TMEM87A,1,0.8302926616,GSE120805
ZNF106,1,0.5040198832,GSE120805
CEP152,1,0.9855233232,GSE120805
ATP8B4,1,0.0005556412029,GSE120805
DTWD1,-1,0.02413441188,GSE120805
TGM5,1,0.01304166621,GSE120805
GABPB1,-1,0.008504886149,GSE120805
TJP1,-1,0.6050638005,GSE120805
BMF,-1,0.8284741549,GSE120805
DMXL2,1,0.0001255367568,GSE120805
SCG3,-1,NA,GSE120805
DNAJC17,-1,0.7762719565,GSE120805
EIF3J,-1,0.02899978807,GSE120805
SPG11,1,0.1380754949,GSE120805
RHOV,-1,0.9127160951,GSE120805
VPS18,1,0.07514731901,GSE120805
OIP5,1,0.2364207769,GSE120805
SLC30A4,1,0.0221120811,GSE120805
BLOC1S6,1,0.892720308,GSE120805
MYEF2,1,4.57E-08,GSE120805
SGK3,1,0.5105555646,GSE120805
PDGFRL,1,0.9343139444,GSE120805
CSPP1,-1,0.6338200337,GSE120805
ZDHHC2,1,0.9981070468,GSE120805
BRF2,-1,0.5096225131,GSE120805
TRIM35,1,0.7007962972,GSE120805
ZFAND1,1,0.3321715956,GSE120805
RP1,1,0.7292379345,GSE120805
CA2,1,0.9551404246,GSE120805
FZD3,1,0.9954685022,GSE120805
INTS9,-1,0.1243085284,GSE120805
RIPK2,-1,0.1812602438,GSE120805
NBN,-1,0.678816907,GSE120805
TRPA1,-1,0.3231175552,GSE120805
CPQ,-1,0.03308050202,GSE120805
DECR1,1,0.2635454428,GSE120805
CALB1,1,NA,GSE120805
BPNT2,1,0.9669951377,GSE120805
SFRP1,-1,0.004955958266,GSE120805
LAPTM4B,-1,0.1501875786,GSE120805
UBE2W,1,0.4986021916,GSE120805
POP1,-1,5.39E-09,GSE120805
NIPAL2,-1,0.7359450278,GSE120805
IKBKB,1,0.01571962213,GSE120805
PLAT,1,0.1156502513,GSE120805
JPH1,-1,0.9933366044,GSE120805
STK3,-1,0.6103328174,GSE120805
GDAP1,-1,0.3193207695,GSE120805
RAB2A,-1,0.9650865512,GSE120805
EIF3E,-1,0.9640615679,GSE120805
EMC2,1,0.5770786209,GSE120805
ESRP1,1,0.3719361963,GSE120805
CCN4,-1,NA,GSE120805
NDRG1,-1,0.05794702879,GSE120805
ZC2HC1A,-1,0.5716236167,GSE120805
IL7,1,0.7420602197,GSE120805
ARMC1,1,0.8370410488,GSE120805
TRPS1,-1,0.008530376334,GSE120805
SPAG1,1,5.08E-21,GSE120805
CHRAC1,-1,0.6211339493,GSE120805
NCALD,-1,0.1223814437,GSE120805
SNX16,1,0.6907328203,GSE120805
UBR5,1,0.2253452573,GSE120805
GSDMD,1,0.102761844,GSE120805
GFUS,1,0.9093987903,GSE120805
PYCR3,-1,0.1839216392,GSE120805
EEF1D,-1,0.8552807816,GSE120805
ANXA13,1,NA,GSE120805
SQLE,-1,0.003609303433,GSE120805
SH2D4A,-1,6.04E-07,GSE120805
INTS10,-1,0.1997017813,GSE120805
ERI1,-1,0.5700284414,GSE120805
SLC39A14,-1,0.9018956438,GSE120805
MTMR9,-1,0.9844324972,GSE120805
LEPROTL1,-1,0.3289785783,GSE120805
DCTN6,1,0.8398630116,GSE120805
R3HCC1,1,0.3666920677,GSE120805
GSR,1,0.07531388488,GSE120805
TNFRSF10A,1,1.45E-35,GSE120805
UBXN8,-1,0.7261592024,GSE120805
PPP2CB,1,0.5934904578,GSE120805
ERICH1,-1,0.2908825015,GSE120805
TUSC3,-1,0.9076290027,GSE120805
ARHGEF10,-1,0.06033583391,GSE120805
KLHDC4,-1,0.7455462281,GSE120805
MCM4,-1,0.003046690187,GSE120805
KCTD9,1,0.2930805419,GSE120805
FGL1,-1,NA,GSE120805
ASAH1,1,0.005136217416,GSE120805
BNIP3L,-1,0.1669473268,GSE120805
MAN2B1,1,0.001909363741,GSE120805
KCNN4,-1,0.3019989453,GSE120805
TULP2,1,0.6313374893,GSE120805
NUCB1,-1,0.9212251308,GSE120805
DHDH,1,0.5586299886,GSE120805
GYS1,-1,0.6648459511,GSE120805
MAP4K1,1,0.3933375407,GSE120805
CGB2,-1,NA,GSE120805
ECH1,1,0.7997821164,GSE120805
HNRNPL,-1,0.5271746657,GSE120805
NFKBIB,-1,0.5349076811,GSE120805
LHB,1,0.678240747,GSE120805
CGB3,-1,NA,GSE120805
TUBB4A,1,0.9424304225,GSE120805
SARS2,-1,0.09118557068,GSE120805
SNRNP70,-1,0.8378010926,GSE120805
CLPTM1,1,0.9799962042,GSE120805
RELB,1,0.4657461996,GSE120805
CLASRP,-1,0.8172152374,GSE120805
LIN7B,1,0.02079588319,GSE120805
PPP1R37,1,0.8195670426,GSE120805
FCGRT,1,1.52E-15,GSE120805
PIH1D1,-1,0.7611075838,GSE120805
CKM,1,0.2966768017,GSE120805
ARHGEF18,1,0.8772456876,GSE120805
PPP1R13L,-1,0.5295060186,GSE120805
PEX11G,1,0.003320329509,GSE120805
ERCC2,-1,0.1931235371,GSE120805
DOT1L,-1,0.5612739736,GSE120805
PLEKHJ1,-1,0.1220767909,GSE120805
SLC17A7,-1,0.4635555503,GSE120805
RNASEH2A,-1,0.5979987587,GSE120805
KLC3,1,0.2532858873,GSE120805
CD37,-1,NA,GSE120805
SF3A2,-1,0.8222291905,GSE120805
AMH,-1,0.0882675904,GSE120805
DKKL1,1,NA,GSE120805
LYL1,1,0.04678077199,GSE120805
OAZ1,-1,0.9571311766,GSE120805
TRMT1,-1,0.02132907912,GSE120805
STX10,-1,0.9471796454,GSE120805
DMPK,1,0.2628588774,GSE120805
RSPH6A,-1,0.628552169,GSE120805
TBC1D17,-1,0.94430947,GSE120805
IL4I1,1,0.9151401659,GSE120805
TLE6,1,0.2854254913,GSE120805
YJU2B,-1,0.8655480309,GSE120805
PTOV1,1,0.6972959011,GSE120805
TLE5,-1,0.8398630116,GSE120805
SGTA,-1,0.6752046038,GSE120805
MED25,1,0.9959983538,GSE120805
SNAPC2,-1,0.0001185415003,GSE120805
C19orf53,-1,0.09456266517,GSE120805
TIMM44,-1,4.92E-05,GSE120805
CCDC61,-1,0.9700023443,GSE120805
IL27RA,-1,0.5594316962,GSE120805
ASF1B,-1,0.9350354664,GSE120805
TNNT1,-1,0.7778726936,GSE120805
VRK3,1,0.2422906056,GSE120805
FAM32A,1,0.8616974901,GSE120805
PPP6R1,1,0.8686901212,GSE120805
C19orf44,-1,0.7595558033,GSE120805
MED26,-1,0.9561125369,GSE120805
OLFM2,-1,0.4771750871,GSE120805
RASAL3,1,NA,GSE120805
AKAP8,-1,0.01181296168,GSE120805
EPHX3,-1,0.4843237553,GSE120805
HACL2,-1,0.817834047,GSE120805
ZNF419,-1,0.8780983611,GSE120805
SYDE1,-1,0.6848310411,GSE120805
AURKC,-1,0.6479478281,GSE120805
POP4,1,0.9071109982,GSE120805
CCNE1,1,0.06308945834,GSE120805
URI1,-1,0.3713846372,GSE120805
PDCD5,-1,0.0001669336523,GSE120805
ANKRD27,-1,0.000150860944,GSE120805
RPS16,-1,0.7846782933,GSE120805
TIMM50,-1,0.03413138212,GSE120805
FBL,-1,0.01476142758,GSE120805
DYRK1B,1,0.007956445515,GSE120805
CCNP,-1,0.7734617735,GSE120805
GPI,-1,0.01211131574,GSE120805
AKT2,1,0.6324814873,GSE120805
PLD3,1,0.8326411796,GSE120805
PRX,-1,0.3114595354,GSE120805
PIAS4,-1,0.956639374,GSE120805
NUMBL,-1,0.01649283616,GSE120805
EBI3,1,0.002988099093,GSE120805
YJU2,-1,0.2809607948,GSE120805
SHD,1,NA,GSE120805
TBCB,-1,0.05735256255,GSE120805
FSD1,1,0.8958454031,GSE120805
POLR2I,-1,0.1643364267,GSE120805
OVOL3,1,0.8985987362,GSE120805
CLIP3,1,0.9007911422,GSE120805
SLC1A5,-1,0.0019170877,GSE120805
PRKD2,1,0.04705331334,GSE120805
TJP3,1,NA,GSE120805
APLP1,1,0.5978614726,GSE120805
CACTIN,-1,0.4822232201,GSE120805
CCDC9,-1,0.8935225789,GSE120805
HNRNPUL1,-1,0.8162514548,GSE120805
FZR1,1,2.10E-07,GSE120805
BBC3,1,1.81E-11,GSE120805
TGFB1,-1,0.8270461019,GSE120805
DENND3,1,0.002109830325,GSE120805
DMAC2,-1,0.7222936381,GSE120805
PLIN3,1,0.008635062655,GSE120805
MYH14,1,NA,GSE120805
MRPL4,-1,0.2787356586,GSE120805
CD79A,-1,0.8985987362,GSE120805
ICAM4,1,0.3693614527,GSE120805
RPS19,-1,0.9517595009,GSE120805
NOP53,-1,0.9959983538,GSE120805
ICAM5,-1,0.7932589026,GSE120805
ETFB,1,0.8929792538,GSE120805
CD33,1,NA,GSE120805
CRX,-1,NA,GSE120805
BABAM1,1,0.75154052,GSE120805
TYK2,1,0.5669930393,GSE120805
CDC37,1,0.945395708,GSE120805
NAPA,1,0.7676471975,GSE120805
RABAC1,-1,0.7197617743,GSE120805
ATP1A3,1,0.73437725,GSE120805
MEIS3,1,8.37E-06,GSE120805
PTPRS,1,0.9198352542,GSE120805
CNFN,1,0.9846637157,GSE120805
MEGF8,-1,0.1401583162,GSE120805
KDELR1,-1,0.9847940455,GSE120805
CYTH2,1,4.49E-05,GSE120805
GRWD1,-1,0.0001063389358,GSE120805
GRIN2D,-1,0.9653834295,GSE120805
SYNGR4,-1,NA,GSE120805
ODAD1,1,0.08806549849,GSE120805
CARD8,1,0.0001161946291,GSE120805
LIG1,-1,1.56E-07,GSE120805
ZNF175,-1,0.5059723632,GSE120805
PLA2G4C,1,0.004739460284,GSE120805
HAS1,1,0.9640615679,GSE120805
RAB3D,1,0.001175268498,GSE120805
DBP,1,0.3104463752,GSE120805
TMEM205,1,0.0135206996,GSE120805
CAPS,1,0.08307073806,GSE120805
PLPPR2,1,0.9980248707,GSE120805
SACK1E,-1,0.4690273746,GSE120805
RASIP1,1,0.3473211164,GSE120805
FGF21,-1,0.5780330509,GSE120805
BCAT2,-1,0.5489884653,GSE120805
MIER2,-1,0.9585768931,GSE120805
PLEKHA4,1,0.2417549452,GSE120805
PPP2R1A,1,0.9610120253,GSE120805
TNPO2,1,0.6235901608,GSE120805
WDR83OS,1,0.8877419739,GSE120805
CACNG7,1,NA,GSE120805
GCDH,-1,0.5931934237,GSE120805
KLF1,-1,NA,GSE120805
DNASE2,1,0.01374553304,GSE120805
MAST1,-1,0.3878034157,GSE120805
LENG1,1,0.4576575956,GSE120805
PRPF31,-1,0.9823794731,GSE120805
TFPT,1,0.2326392261,GSE120805
JAK3,1,0.5628629967,GSE120805
RPL18A,-1,0.002931664378,GSE120805
SLC5A5,1,NA,GSE120805
KCNN1,1,0.1771085351,GSE120805
ARRDC2,1,0.7968422246,GSE120805
PIK3R2,1,0.9346684462,GSE120805
RAB3A,-1,0.9137241496,GSE120805
PDE4C,1,2.46E-42,GSE120805
ISYNA1,1,0.1301447252,GSE120805
ELL,1,0.008455106974,GSE120805
CRTC1,-1,0.9981070468,GSE120805
COMP,-1,0.2370309857,GSE120805
UPK1A,1,NA,GSE120805
COPE,-1,0.5644704696,GSE120805
DDX49,-1,0.7666567861,GSE120805
ETV2,-1,0.9164714594,GSE120805
ARMC6,-1,0.1112824612,GSE120805
TMEM147,-1,0.253424008,GSE120805
GAPDHS,-1,NA,GSE120805
MAG,1,NA,GSE120805
TMEM59L,1,0.2137821961,GSE120805
HAMP,-1,0.3663934793,GSE120805
USF2,-1,0.3752644553,GSE120805
LSR,-1,0.6162257079,GSE120805
KXD1,-1,0.1991390958,GSE120805
FKBP8,-1,0.8520719069,GSE120805
SUGP1,1,0.4581100905,GSE120805
HPN,1,NA,GSE120805
ZNF14,-1,0.9110585514,GSE120805
SCN1B,-1,0.1250331019,GSE120805
PBX4,1,NA,GSE120805
ERF,-1,0.9661189853,GSE120805
GSK3A,-1,0.887865148,GSE120805
ATP13A1,-1,0.9820269509,GSE120805
ZNF574,-1,0.9242574321,GSE120805
GRIK5,1,0.4606886478,GSE120805
SIPA1L3,-1,0.9045961357,GSE120805
ZNF85,-1,0.5904463536,GSE120805
ETHE1,-1,0.8720574692,GSE120805
CADM4,1,0.04789836495,GSE120805
SMG9,-1,0.6973763646,GSE120805
AVL9,1,0.9156933064,GSE120805
RUNDC3B,-1,0.8830353158,GSE120805
CFAP69,1,6.28E-06,GSE120805
GTPBP10,1,0.3533963132,GSE120805
LOC101927446,1,0.3533963132,GSE120805
RASA4,1,0.742593357,GSE120805
CDK6,-1,0.0003669810978,GSE120805
PMPCB,1,0.6147227495,GSE120805
DNAJC2,-1,0.1711415507,GSE120805
TFPI2,-1,0.1196743215,GSE120805
BET1,1,0.5785278958,GSE120805
NAMPT,-1,0.4511350191,GSE120805
POLR1F,-1,0.4825033402,GSE120805
PIK3CG,1,9.37E-10,GSE120805
PON2,1,0.9845559186,GSE120805
ITGB8,-1,7.26E-06,GSE120805
HBP1,1,0.005428738398,GSE120805
DUS4L,1,0.6180845511,GSE120805
SP4,-1,0.002471662335,GSE120805
WDR91,-1,0.8150269295,GSE120805
DNAH11,-1,0.0007808386692,GSE120805
CBLL1,-1,0.7804032223,GSE120805
DLX5,1,0.9488814114,GSE120805
MTPN,1,0.6526549599,GSE120805
STEAP1B,-1,0.6388848612,GSE120805
LOC401312,-1,0.6388848612,GSE120805
PTN,-1,1.06E-07,GSE120805
PALS2,-1,0.007313028574,GSE120805
GSDME,-1,0.9622913854,GSE120805
ATP6V0A4,1,0.6706944069,GSE120805
ZC3HAV1,-1,0.8890607733,GSE120805
IFT56,-1,0.9804159521,GSE120805
OGDH,-1,0.7717078839,GSE120805
ADAP1,1,0.1470347602,GSE120805
TFEC,1,0.01667179741,GSE120805
H2AZ2,1,0.7323270132,GSE120805
CAV2,-1,0.2066150502,GSE120805
CAV1,-1,7.64E-11,GSE120805
MET,-1,0.0003074537584,GSE120805
RNF32,1,0.0004065598917,GSE120805
LMBR1,1,0.7264731272,GSE120805
WNT2,-1,0.1075740166,GSE120805
DNAJB6,-1,0.2956968527,GSE120805
HOXA3,-1,NA,GSE120805
LFNG,-1,0.001487360846,GSE120805
BRAT1,1,0.8228691724,GSE120805
IQCE,1,0.02417734658,GSE120805
ANKRD7,1,0.05048302292,GSE120805
TSPAN12,-1,0.2497304304,GSE120805
SSBP1,-1,0.7943746546,GSE120805
HOXA13,-1,0.6733105249,GSE120805
CPED1,-1,0.8105590889,GSE120805
HIBADH,-1,1.02E-05,GSE120805
TAX1BP1,1,0.5194719852,GSE120805
CPVL,1,0.7004427664,GSE120805
CHN2,1,0.4976430432,GSE120805
GRB10,-1,0.03283458028,GSE120805
ABHD11,1,0.5145173351,GSE120805
COBL,-1,NA,GSE120805
FKBP14,-1,0.7213788701,GSE120805
PLEKHA8,1,0.7326473196,GSE120805
STX1A,1,0.6002045413,GSE120805
NOD1,-1,0.2566659172,GSE120805
GARS1,-1,8.10E-11,GSE120805
MINDY4,1,0.8016462233,GSE120805
CASP2,-1,0.7222936381,GSE120805
CHCHD2,-1,0.9028863963,GSE120805
HSPB1,-1,0.4298390887,GSE120805
NPTX2,-1,NA,GSE120805
PDAP1,-1,0.7126416783,GSE120805
BUD31,-1,0.5808001162,GSE120805
PTCD1,-1,0.809445291,GSE120805
CYP3A5,1,NA,GSE120805
ZKSCAN1,1,0.1078967262,GSE120805
EIF3B,-1,7.43E-05,GSE120805
SNX8,-1,0.5635974509,GSE120805
NUDT1,-1,0.3397209082,GSE120805
PTPRZ1,1,0.8304391212,GSE120805
TAF6,-1,0.8956027115,GSE120805
WASL,1,0.9589833217,GSE120805
AIMP2,-1,0.07165885106,GSE120805
TFR2,-1,0.3747162338,GSE120805
FSCN3,1,0.7213788701,GSE120805
MOSPD3,-1,0.85907847,GSE120805
PCOLCE,-1,0.03905676255,GSE120805
FBXO24,-1,0.7001775826,GSE120805
RBM28,-1,0.1035042929,GSE120805
USP42,-1,0.3131181781,GSE120805
IMPDH1,-1,0.0003566710268,GSE120805
AGFG2,1,0.421959644,GSE120805
LSM5,1,0.16182311,GSE120805
SERPINE1,-1,3.00E-05,GSE120805
AP1S1,1,0.3945360032,GSE120805
C1GALT1,-1,0.3565294396,GSE120805
PLOD3,-1,0.6084470569,GSE120805
RPA3,1,0.798102442,GSE120805
ZNHIT1,-1,0.8468681703,GSE120805
CLDN15,1,0.5846047947,GSE120805
GLCCI1,1,0.5265719931,GSE120805
MYL10,-1,0.2750866332,GSE120805
PHF14,-1,0.7846782933,GSE120805
NRF1,1,0.8798332475,GSE120805
TMEM106B,1,0.1644110147,GSE120805
EZH2,-1,0.9249689264,GSE120805
CEP41,1,0.8983459499,GSE120805
ZNF862,1,0.0002643174678,GSE120805
SFRP4,-1,0.61778096,GSE120805
MEST,-1,2.78E-08,GSE120805
MEOX2,-1,1.52E-06,GSE120805
ANKMY2,-1,0.9184018846,GSE120805
